old_name,strain,substrate,day,new_name
IMG_4469,CBS464,cellulose,3d,CBS464_cellulose_3d
IMG_4470,CBS464,celluloseBPB,3d,CBS464_celluloseBPB_3d
IMG_4471,CBS464,starch,3d,CBS464_starch_3d
IMG_4472,CBS464,inulin,3d,CBS464_inulin_3d
IMG_4473,CBS464,guar-gum,3d,CBS464_guar-gum_3d
IMG_4474,CBS464,PGA,3d,CBS464_PGA_3d
IMG_4475,CBS464,pectin-apple,3d,CBS464_pectin-apple_3d
IMG_4476,CBS464,pectin-citrus,3d,CBS464_pectin-citrus_3d
IMG_4477,CBS464,SBP,3d,CBS464_SBP_3d
IMG_4478,CBS464,none,3d,CBS464_none_3d
IMG_4479,CBS464,glycerol,3d,CBS464_glycerol_3d
IMG_4480,CBS464,cellobiose,3d,CBS464_cellobiose_3d
IMG_4481,CBS464,xylose,3d,CBS464_xylose_3d
IMG_4482,CBS464,fructose,3d,CBS464_fructose_3d
IMG_4484,CBS464,mannose,3d,CBS464_mannose_3d
IMG_4485,CBS464,arabinose,3d,CBS464_arabinose_3d
IMG_4486,CBS464,galactose,3d,CBS464_galactose_3d
IMG_4487,CBS464,rhamnose,3d,CBS464_rhamnose_3d
IMG_4488,CBS464,galacturonic-acid,3d,CBS464_galacturonic-acid_3d
IMG_4489,CBS464,lactose,3d,CBS464_lactose_3d
IMG_4490,bmtr2-34-1,cellulose,3d,bmtr2-34-1_cellulose_3d
IMG_4491,bmtr2-34-1,celluloseBPB,3d,bmtr2-34-1_celluloseBPB_3d
IMG_4492,bmtr2-34-1,starch,3d,bmtr2-34-1_starch_3d
IMG_4493,bmtr2-34-1,inulin,3d,bmtr2-34-1_inulin_3d
IMG_4494,bmtr2-34-1,guar-gum,3d,bmtr2-34-1_guar-gum_3d
IMG_4495,bmtr2-34-1,PGA,3d,bmtr2-34-1_PGA_3d
IMG_4496,bmtr2-34-1,pectin-apple,3d,bmtr2-34-1_pectin-apple_3d
IMG_4497,bmtr2-34-1,pectin-citrus,3d,bmtr2-34-1_pectin-citrus_3d
IMG_4498,bmtr2-34-1,SBP,3d,bmtr2-34-1_SBP_3d
IMG_4499,bmtr2-34-1,none,3d,bmtr2-34-1_none_3d
IMG_4500,bmtr2-34-1,glycerol,3d,bmtr2-34-1_glycerol_3d
IMG_4501,bmtr2-34-1,cellobiose,3d,bmtr2-34-1_cellobiose_3d
IMG_4502,bmtr2-34-1,xylose,3d,bmtr2-34-1_xylose_3d
IMG_4503,bmtr2-34-1,fructose,3d,bmtr2-34-1_fructose_3d
IMG_4504,bmtr2-34-1,mannose,3d,bmtr2-34-1_mannose_3d
IMG_4505,bmtr2-34-1,arabinose,3d,bmtr2-34-1_arabinose_3d
IMG_4506,bmtr2-34-1,galactose,3d,bmtr2-34-1_galactose_3d
IMG_4507,bmtr2-34-1,rhamnose,3d,bmtr2-34-1_rhamnose_3d
IMG_4509,bmtr2-34-1,galacturonic-acid,3d,bmtr2-34-1_galacturonic-acid_3d
IMG_4510,bmtr2-34-1,lactose,3d,bmtr2-34-1_lactose_3d
IMG_4511,bmtr3-35-2,cellulose,3d,bmtr3-35-2_cellulose_3d
IMG_4512,bmtr3-35-2,celluloseBPB,3d,bmtr3-35-2_celluloseBPB_3d
IMG_4513,bmtr3-35-2,starch,3d,bmtr3-35-2_starch_3d
IMG_4514,bmtr3-35-2,inulin,3d,bmtr3-35-2_inulin_3d
IMG_4515,bmtr3-35-2,guar-gum,3d,bmtr3-35-2_guar-gum_3d
IMG_4516,bmtr3-35-2,PGA,3d,bmtr3-35-2_PGA_3d
IMG_4517,bmtr3-35-2,pectin-apple,3d,bmtr3-35-2_pectin-apple_3d
IMG_4518,bmtr3-35-2,pectin-citrus,3d,bmtr3-35-2_pectin-citrus_3d
IMG_4519,bmtr3-35-2,SBP,3d,bmtr3-35-2_SBP_3d
IMG_4520,bmtr3-35-2,none,3d,bmtr3-35-2_none_3d
IMG_4521,bmtr3-35-2,glycerol,3d,bmtr3-35-2_glycerol_3d
IMG_4522,bmtr3-35-2,cellobiose,3d,bmtr3-35-2_cellobiose_3d
IMG_4523,bmtr3-35-2,xylose,3d,bmtr3-35-2_xylose_3d
IMG_4524,bmtr3-35-2,fructose,3d,bmtr3-35-2_fructose_3d
IMG_4525,bmtr3-35-2,mannose,3d,bmtr3-35-2_mannose_3d
IMG_4526,bmtr3-35-2,arabinose,3d,bmtr3-35-2_arabinose_3d
IMG_4527,bmtr3-35-2,galactose,3d,bmtr3-35-2_galactose_3d
IMG_4528,bmtr3-35-2,rhamnose,3d,bmtr3-35-2_rhamnose_3d
